2026-08-14T21:41:21.307120+0000 | MainThread INFO | __main__:setup_logger:65 | Logger set up with level INFO, log will be saved to logs/20260814214121_._PromeFuzz.py_-F_database_rapidcsv_latest_lib.toml_generate_--pool-size_1.log
2026-08-14T21:41:21.328657+0000 | MainThread INFO | src.utils:setup_llm:210 | Validating the LLM client...
2026-08-14T21:41:32.102238+0000 | MainThread SUCCESS | src.utils:setup_llm:214 | The LLM client gpt-4-1 has been setup.
2026-08-14T21:41:32.122070+0000 | MainThread INFO | src.utils:setup_llm:210 | Validating the LLM client...
2026-08-14T21:41:43.034030+0000 | MainThread SUCCESS | src.utils:setup_llm:214 | The LLM client gpt-4-1 has been setup.
2026-08-14T21:41:43.037623+0000 | MainThread INFO | src.generator.worker:restore:362 | Resuming generation state from Fri Aug 14 21:41:43 2026. Last generated fuzz driver 0, last scheduled function set 0
2026-08-14T21:41:43.038296+0000 | MainThread INFO | src.generator.scheduler:schedule_order:428 | Scheduling new order set...
2026-08-14T21:41:43.044010+0000 | MainThread INFO | src.generator.generator:generate:102 | Generating fuzz driver for function set 1, remaining rounds: 1
2026-08-14T21:42:01.548099+0000 | MainThread INFO | src.generator.generator:generate:136 | New fuzz driver generated, ID 1
2026-08-14T21:42:01.553994+0000 | MainThread INFO | src.generator.sanitizer:sanitize:149 | Sanitizing fuzz driver 1, remaining rounds: 4
2026-08-14T21:42:03.867504+0000 | MainThread INFO | src.generator.sanitizer:sanitize:156 | Sanitization of fuzz driver 1 succeeded
2026-08-14T21:42:04.691290+0000 | MainThread WARNING | src.generator.driver:check_actual_targets_ast:436 | Function in fuzz driver does not exist in API collection: ReadSizeT at /promefuzz/database/rapidcsv/latest/out/tmp/postprocessing/postprocessing_1.cpp:19:15
2026-08-14T21:42:04.691743+0000 | MainThread WARNING | src.generator.driver:check_actual_targets_ast:436 | Function in fuzz driver does not exist in API collection: ReadSizeT at /promefuzz/database/rapidcsv/latest/out/tmp/postprocessing/postprocessing_1.cpp:19:15
2026-08-14T21:42:04.692101+0000 | MainThread WARNING | src.generator.driver:check_actual_targets_ast:436 | Function in fuzz driver does not exist in API collection: ReadSizeT at /promefuzz/database/rapidcsv/latest/out/tmp/postprocessing/postprocessing_1.cpp:19:15
2026-08-14T21:42:04.692411+0000 | MainThread WARNING | src.generator.driver:check_actual_targets_ast:436 | Function in fuzz driver does not exist in API collection: ReadSizeT at /promefuzz/database/rapidcsv/latest/out/tmp/postprocessing/postprocessing_1.cpp:19:15
2026-08-14T21:42:04.692709+0000 | MainThread WARNING | src.generator.driver:check_actual_targets_ast:436 | Function in fuzz driver does not exist in API collection: ReadSizeT at /promefuzz/database/rapidcsv/latest/out/tmp/postprocessing/postprocessing_1.cpp:19:15
2026-08-14T21:42:04.692986+0000 | MainThread WARNING | src.generator.driver:check_actual_targets_ast:436 | Function in fuzz driver does not exist in API collection: ReadSizeT at /promefuzz/database/rapidcsv/latest/out/tmp/postprocessing/postprocessing_1.cpp:19:15
2026-08-14T21:42:04.693250+0000 | MainThread WARNING | src.generator.driver:check_actual_targets_ast:436 | Function in fuzz driver does not exist in API collection: ReadString at /promefuzz/database/rapidcsv/latest/out/tmp/postprocessing/postprocessing_1.cpp:47:20
2026-08-14T21:42:04.693481+0000 | MainThread WARNING | src.generator.driver:check_actual_targets_ast:436 | Function in fuzz driver does not exist in API collection: ReadString at /promefuzz/database/rapidcsv/latest/out/tmp/postprocessing/postprocessing_1.cpp:47:20
2026-08-14T21:42:04.693730+0000 | MainThread WARNING | src.generator.driver:check_actual_targets_ast:436 | Function in fuzz driver does not exist in API collection: ReadSizeT at /promefuzz/database/rapidcsv/latest/out/tmp/postprocessing/postprocessing_1.cpp:19:15
2026-08-14T21:42:04.693977+0000 | MainThread WARNING | src.generator.driver:check_actual_targets_ast:436 | Function in fuzz driver does not exist in API collection: ReadString at /promefuzz/database/rapidcsv/latest/out/tmp/postprocessing/postprocessing_1.cpp:47:20
2026-08-14T21:42:04.694200+0000 | MainThread WARNING | src.generator.driver:check_actual_targets_ast:436 | Function in fuzz driver does not exist in API collection: ReadBool at /promefuzz/database/rapidcsv/latest/out/tmp/postprocessing/postprocessing_1.cpp:30:13
2026-08-14T21:42:04.694507+0000 | MainThread WARNING | src.generator.driver:check_actual_targets_ast:436 | Function in fuzz driver does not exist in API collection: ReadChar at /promefuzz/database/rapidcsv/latest/out/tmp/postprocessing/postprocessing_1.cpp:36:13
2026-08-14T21:42:04.694767+0000 | MainThread WARNING | src.generator.driver:check_actual_targets_ast:436 | Function in fuzz driver does not exist in API collection: ReadBool at /promefuzz/database/rapidcsv/latest/out/tmp/postprocessing/postprocessing_1.cpp:30:13
2026-08-14T21:42:04.695019+0000 | MainThread WARNING | src.generator.driver:check_actual_targets_ast:436 | Function in fuzz driver does not exist in API collection: ReadBool at /promefuzz/database/rapidcsv/latest/out/tmp/postprocessing/postprocessing_1.cpp:30:13
2026-08-14T21:42:04.695263+0000 | MainThread WARNING | src.generator.driver:check_actual_targets_ast:436 | Function in fuzz driver does not exist in API collection: ReadSizeT at /promefuzz/database/rapidcsv/latest/out/tmp/postprocessing/postprocessing_1.cpp:19:15
2026-08-14T21:42:04.695504+0000 | MainThread WARNING | src.generator.driver:check_actual_targets_ast:436 | Function in fuzz driver does not exist in API collection: ReadSizeT at /promefuzz/database/rapidcsv/latest/out/tmp/postprocessing/postprocessing_1.cpp:19:15
2026-08-14T21:42:04.695768+0000 | MainThread WARNING | src.generator.driver:check_actual_targets_ast:436 | Function in fuzz driver does not exist in API collection: ReadBool at /promefuzz/database/rapidcsv/latest/out/tmp/postprocessing/postprocessing_1.cpp:30:13
2026-08-14T21:42:04.696021+0000 | MainThread WARNING | src.generator.driver:check_actual_targets_ast:436 | Function in fuzz driver does not exist in API collection: ReadChar at /promefuzz/database/rapidcsv/latest/out/tmp/postprocessing/postprocessing_1.cpp:36:13
2026-08-14T21:42:04.696266+0000 | MainThread WARNING | src.generator.driver:check_actual_targets_ast:436 | Function in fuzz driver does not exist in API collection: ReadString at /promefuzz/database/rapidcsv/latest/out/tmp/postprocessing/postprocessing_1.cpp:47:20
2026-08-14T21:42:04.696503+0000 | MainThread WARNING | src.generator.driver:check_actual_targets_ast:436 | Function in fuzz driver does not exist in API collection: ReadString at /promefuzz/database/rapidcsv/latest/out/tmp/postprocessing/postprocessing_1.cpp:47:20
2026-08-14T21:42:04.696745+0000 | MainThread WARNING | src.generator.driver:check_actual_targets_ast:436 | Function in fuzz driver does not exist in API collection: ReadString at /promefuzz/database/rapidcsv/latest/out/tmp/postprocessing/postprocessing_1.cpp:47:20
2026-08-14T21:42:04.696981+0000 | MainThread WARNING | src.generator.driver:check_actual_targets_ast:436 | Function in fuzz driver does not exist in API collection: ReadString at /promefuzz/database/rapidcsv/latest/out/tmp/postprocessing/postprocessing_1.cpp:47:20
2026-08-14T21:42:04.697224+0000 | MainThread WARNING | src.generator.driver:check_actual_targets_ast:436 | Function in fuzz driver does not exist in API collection: ReadString at /promefuzz/database/rapidcsv/latest/out/tmp/postprocessing/postprocessing_1.cpp:47:20
2026-08-14T21:42:04.697463+0000 | MainThread WARNING | src.generator.driver:check_actual_targets_ast:436 | Function in fuzz driver does not exist in API collection: ReadSizeT at /promefuzz/database/rapidcsv/latest/out/tmp/postprocessing/postprocessing_1.cpp:19:15
2026-08-14T21:42:04.697700+0000 | MainThread WARNING | src.generator.driver:check_actual_targets_ast:436 | Function in fuzz driver does not exist in API collection: ReadSizeT at /promefuzz/database/rapidcsv/latest/out/tmp/postprocessing/postprocessing_1.cpp:19:15
2026-08-14T21:42:04.698028+0000 | MainThread INFO | src.generator.worker:san_success:187 | Fuzz driver 1 tests the following functions: 
rapidcsv::Document::GetRow at rapidcsv.h:991:20 in rapidcsv.h, rapidcsv::Document::InsertRow at rapidcsv.h:1115:10 in rapidcsv.h, rapidcsv::Document::GetRow at rapidcsv.h:991:20 in rapidcsv.h, rapidcsv::Document::GetCell at rapidcsv.h:1257:7 in rapidcsv.h, rapidcsv::Document::GetCell at rapidcsv.h:1172:7 in rapidcsv.h, rapidcsv::Document::GetCell at rapidcsv.h:1294:7 in rapidcsv.h, rapidcsv::Document::GetCell at rapidcsv.h:1208:7 in rapidcsv.h, rapidcsv::Document::SetCell at rapidcsv.h:1367:10 in rapidcsv.h, rapidcsv::Document::GetCell at rapidcsv.h:1208:7 in rapidcsv.h, rapidcsv::Document::SetCell at rapidcsv.h:1331:10 in rapidcsv.h, rapidcsv::Document::GetCell at rapidcsv.h:1172:7 in rapidcsv.h
2026-08-14T21:42:04.703953+0000 | MainThread SUCCESS | src.generator.worker:san_success:205 | Fuzz driver 1 has been successfully generated and sanitized, saved to /promefuzz/database/rapidcsv/latest/out/fuzz_driver
2026-08-14T21:42:04.704305+0000 | MainThread INFO | src.generator.scheduler:schedule_order:428 | Scheduling new order set...
2026-08-14T21:42:04.709802+0000 | MainThread INFO | src.generator.generator:generate:102 | Generating fuzz driver for function set 2, remaining rounds: 1
2026-08-14T21:42:22.436327+0000 | MainThread INFO | src.generator.generator:generate:136 | New fuzz driver generated, ID 2
2026-08-14T21:42:22.442241+0000 | MainThread INFO | src.generator.sanitizer:sanitize:149 | Sanitizing fuzz driver 2, remaining rounds: 4
2026-08-14T21:42:22.951255+0000 | MainThread INFO | src.generator.sanitizer:sanitize:161 | Build error detected in fuzz driver 2, fixing...
