2026-08-28T22:21:12.598871+0000 | MainThread INFO | __main__:setup_logger:65 | Logger set up with level INFO, log will be saved to logs/20260828222112_._PromeFuzz.py_-F_database_rapidcsv_latest_lib.toml_generate_--pool-size_1.log
2026-08-28T22:21:12.620409+0000 | MainThread INFO | src.utils:setup_llm:210 | Validating the LLM client...
2026-08-28T22:21:14.983444+0000 | MainThread SUCCESS | src.utils:setup_llm:214 | The LLM client gpt-4-1 has been setup.
2026-08-28T22:21:15.002994+0000 | MainThread INFO | src.utils:setup_llm:210 | Validating the LLM client...
2026-08-28T22:21:15.700123+0000 | MainThread SUCCESS | src.utils:setup_llm:214 | The LLM client gpt-4-1 has been setup.
2026-08-28T22:21:15.703590+0000 | MainThread INFO | src.generator.worker:restore:362 | Resuming generation state from Fri Aug 28 22:21:15 2026. Last generated fuzz driver 0, last scheduled function set 0
2026-08-28T22:21:15.704197+0000 | MainThread INFO | src.generator.scheduler:schedule_order:428 | Scheduling new order set...
2026-08-28T22:21:15.709479+0000 | MainThread INFO | src.generator.generator:generate:102 | Generating fuzz driver for function set 1, remaining rounds: 1
2026-08-28T22:21:23.158646+0000 | MainThread INFO | src.generator.generator:generate:136 | New fuzz driver generated, ID 1
2026-08-28T22:21:23.164287+0000 | MainThread INFO | src.generator.sanitizer:sanitize:149 | Sanitizing fuzz driver 1, remaining rounds: 4
2026-08-28T22:21:25.444617+0000 | MainThread INFO | src.generator.sanitizer:sanitize:156 | Sanitization of fuzz driver 1 succeeded
2026-08-28T22:21:26.245162+0000 | MainThread WARNING | src.generator.driver:check_actual_targets_ast:436 | Function in fuzz driver does not exist in API collection: ReadString at /promefuzz/database/rapidcsv/latest/out/tmp/postprocessing/postprocessing_1.cpp:32:20
2026-08-28T22:21:26.245609+0000 | MainThread WARNING | src.generator.driver:check_actual_targets_ast:436 | Function in fuzz driver does not exist in API collection: ReadSizeT at /promefuzz/database/rapidcsv/latest/out/tmp/postprocessing/postprocessing_1.cpp:20:15
