2026-08-29T06:50:50.810785+0000 | MainThread INFO | __main__:setup_logger:65 | Logger set up with level INFO, log will be saved to logs/20260829065050_._PromeFuzz.py_-F_database_sqlite3_latest_lib.toml_generate_--pool-size_1.log
2026-08-29T06:50:50.832251+0000 | MainThread INFO | src.utils:setup_llm:210 | Validating the LLM client...
2026-08-29T06:50:56.366737+0000 | MainThread SUCCESS | src.utils:setup_llm:214 | The LLM client gpt-4-1 has been setup.
2026-08-29T06:50:56.386282+0000 | MainThread INFO | src.utils:setup_llm:210 | Validating the LLM client...
2026-08-29T06:51:01.863973+0000 | MainThread SUCCESS | src.utils:setup_llm:214 | The LLM client gpt-4-1 has been setup.
2026-08-29T06:51:01.959127+0000 | MainThread INFO | src.generator.worker:restore:362 | Resuming generation state from Sat Aug 29 06:51:01 2026. Last generated fuzz driver 0, last scheduled function set 0
2026-08-29T06:51:01.959878+0000 | MainThread INFO | src.generator.scheduler:schedule_order:428 | Scheduling new order set...
2026-08-29T06:51:01.980111+0000 | MainThread INFO | src.generator.generator:generate:102 | Generating fuzz driver for function set 1, remaining rounds: 1
2026-08-29T06:51:11.330529+0000 | MainThread INFO | src.generator.generator:generate:136 | New fuzz driver generated, ID 1
2026-08-29T06:51:11.351626+0000 | MainThread INFO | src.generator.sanitizer:sanitize:149 | Sanitizing fuzz driver 1, remaining rounds: 4
2026-08-29T06:51:12.677139+0000 | MainThread INFO | src.generator.sanitizer:sanitize:156 | Sanitization of fuzz driver 1 succeeded
2026-08-29T06:51:12.732511+0000 | MainThread INFO | src.generator.worker:san_success:187 | Fuzz driver 1 tests the following functions: 
sqlite3_open at sqlite3.c:155676:16 in sqlite3.h, sqlite3_close at sqlite3.c:153535:16 in sqlite3.h, sqlite3_malloc64 at sqlite3.c:15744:18 in sqlite3.h, sqlite3_close at sqlite3.c:153535:16 in sqlite3.h, sqlite3_prepare_v2 at sqlite3.c:119067:16 in sqlite3.h, sqlite3_errmsg at sqlite3.c:154780:24 in sqlite3.h, sqlite3_step at sqlite3.c:72655:16 in sqlite3.h, sqlite3_step at sqlite3.c:72655:16 in sqlite3.h, sqlite3_column_count at sqlite3.c:72903:16 in sqlite3.h, sqlite3_column_type at sqlite3.c:73072:16 in sqlite3.h, sqlite3_column_name at sqlite3.c:73143:24 in sqlite3.h, sqlite3_column_text at sqlite3.c:73051:33 in sqlite3.h, sqlite3_column_text at sqlite3.c:73051:33 in sqlite3.h, sqlite3_column_text at sqlite3.c:73051:33 in sqlite3.h, sqlite3_column_bytes at sqlite3.c:73026:16 in sqlite3.h, sqlite3_column_type at sqlite3.c:73072:16 in sqlite3.h, sqlite3_column_name at sqlite3.c:73143:24 in sqlite3.h, sqlite3_column_text at sqlite3.c:73051:33 in sqlite3.h, sqlite3_column_text at sqlite3.c:73051:33 in sqlite3.h, sqlite3_column_text at sqlite3.c:73051:33 in sqlite3.h, sqlite3_column_bytes at sqlite3.c:73026:16 in sqlite3.h, sqlite3_finalize at sqlite3.c:72005:16 in sqlite3.h, sqlite3_finalize at sqlite3.c:72005:16 in sqlite3.h, sqlite3_free at sqlite3.c:15815:17 in sqlite3.h, sqlite3_close at sqlite3.c:153535:16 in sqlite3.h
2026-08-29T06:51:12.753912+0000 | MainThread SUCCESS | src.generator.worker:san_success:205 | Fuzz driver 1 has been successfully generated and sanitized, saved to /promefuzz/database/sqlite3/latest/out/fuzz_driver
2026-08-29T06:51:12.754295+0000 | MainThread INFO | src.generator.scheduler:schedule_order:428 | Scheduling new order set...
2026-08-29T06:51:12.774840+0000 | MainThread INFO | src.generator.generator:generate:102 | Generating fuzz driver for function set 2, remaining rounds: 1
2026-08-29T06:51:28.505364+0000 | MainThread INFO | src.generator.generator:generate:136 | New fuzz driver generated, ID 2
2026-08-29T06:51:28.526200+0000 | MainThread INFO | src.generator.sanitizer:sanitize:149 | Sanitizing fuzz driver 2, remaining rounds: 4
2026-08-29T06:51:29.863274+0000 | MainThread INFO | src.generator.sanitizer:sanitize:156 | Sanitization of fuzz driver 2 succeeded
2026-08-29T06:51:29.919966+0000 | MainThread WARNING | src.generator.driver:check_actual_targets_ast:436 | Function in fuzz driver does not exist in API collection: consume_bool at /promefuzz/database/sqlite3/latest/out/tmp/postprocessing/postprocessing_2.c:21:12
2026-08-29T06:51:29.920418+0000 | MainThread WARNING | src.generator.driver:check_actual_targets_ast:436 | Function in fuzz driver does not exist in API collection: consume_bool at /promefuzz/database/sqlite3/latest/out/tmp/postprocessing/postprocessing_2.c:21:12
2026-08-29T06:51:29.920771+0000 | MainThread WARNING | src.generator.driver:check_actual_targets_ast:436 | Function in fuzz driver does not exist in API collection: consume_bool at /promefuzz/database/sqlite3/latest/out/tmp/postprocessing/postprocessing_2.c:21:12
2026-08-29T06:51:29.921078+0000 | MainThread WARNING | src.generator.driver:check_actual_targets_ast:436 | Function in fuzz driver does not exist in API collection: consume_bool at /promefuzz/database/sqlite3/latest/out/tmp/postprocessing/postprocessing_2.c:21:12
2026-08-29T06:51:29.921367+0000 | MainThread WARNING | src.generator.driver:check_actual_targets_ast:436 | Function in fuzz driver does not exist in API collection: consume_bool at /promefuzz/database/sqlite3/latest/out/tmp/postprocessing/postprocessing_2.c:21:12
